topic_id	tweet_id	tweet_text	claim	claim_worthiness	WE_text
CT20-AR-08	1222805726592163841	الدكتور المطلق محذرا الآباء من تأثير  النسويات  على عقول الفتيات  يؤثرن على بناتنا ويعملن على إشعار الفتاة بأنها في قلق ويدفعنها للانتحار ويزين لها الهروب [رابط]		1	الدكتور صالح محذرا الأهل من تأثير النسويات على صحة الفتاة يؤثرن على الآباء يقمن على إشعار الفتاة بكونها محط قلق ويدفعنها للانتحار وتسبب لها الكثير [رابط]
CT20-AR-08	1222810033194520580	عضو هيئة كبار العلماء الشيخ عبدالله المطلق يحذر  النسويات أفسدن الفتيات حتى أخرجنهن وزين لهن الهروب للخارج والانتحار ، بعدما كن معززات مكرمات في وطنهن وأسرهن   [رابط]		1	عضو هيئة كبار العلماء عبدا الله المطلق يقول النسويات أفسدن البيوت حيث أخرجنهن وزين فيها الهروب للخارج والانتحار ، بعدما كن ميس الأمور بين منازل وأسرهن [رابط]
CT20-AR-08	1222775480883064832	فيديو   عضو هيئة كبار العلماء د   عبدالله المطلق   احذروا من  النسويات لأنهن يدفعن الفتيات إلى الهروب للخارج والانتحار ، وأضاف أن  بعض الفتيات جربن الهرب إلى الخارج ليصدمن بالواقع المرير ويعملن كالخادمات في المطاعم بتنظيف الأواني ، بعدما كن معززات مكرمات في وطنهن وأسرهن      [رابط]		1	فيديو عضو هيئة كبار العلماء د عبدالله المطلق على المعلمات النسويات لأنهن يدفعن الفتيات إلى الهروب للخارج والانتحار والمخدرات وأضاف أن بعض الفتيات يهرب الرحلة إلى الخارج ليصدمن بالواقع الفاسد ويعملن كالخادمات في المطاعم وأطفال الشوارع ، بعدما ليكن معززات مكرمات في وطنهن في [رابط]
CT20-AR-08	1223635318185897984	 متحرش  وادي  الدواسر بنت لابسه نقاب و دسوس وكل شي اسود باسود مع ذلك ما سلمت من هذا الذكر الواطي اللي يتحرش فيها ، عشان تعرفون أن المشكلة ماهي في لبس النساء ، المشكلة في عقول هؤلاء الذكور اللي يشوفوا اي بنت بالشارع فهي مجرد شهوة يجوز له التحرش بها ، قسم بالله مقطع يغث [رابط]		1	من وادي الدواسر بنت لابسه اسود و دسوس وكل شي لونه باسود ولولا ذلك ما سلمت من هذا الشعب الواطي اللي يتحرش فيها ، عشان تعرفون أن المشكلة ماهي في لبس النساء ، المشكلة في عقول هؤلاء البشر اللي يسمع كام بنت بالشارع فهي مجرد آلة يجوز له التحرش بها ، قسم بالله مقطع فيديو [رابط]
CT20-AR-08	1222816722899521536	الشيخ المطلق يحذر من أضرار « النسويات » على الفتيات   وينصح الآباء [رابط]		1	أمير تركي يتخوف من أضرار « السخرية » من الفتيات وينصح الآباء [رابط]
CT20-AR-08	1222788654889947136	الدكتور المطلق محذرا الآباء من تأثير  النسويات  على عقول الفتيات  يؤثرن على بناتنا ويعملن على إشعار الفتاة بأنها في قلق ويدفعنها للانتحار ويزين لها الهروب والخروج من البلاد  [رابط]		1	تحدث المطلق محذرا ا من تأثير النسويات عل عقول الاطفال وكذلك على بناتنا ويعملن على احساس الفتاة انها في ورطة ويدفعنها للانتحار ويزين لها الهروب يائسة من حياتها [رابط]
CT20-AR-08	1222533746253094912	أسس ومبادئ الحركة النسوية والرد عليها [رقم]  المساواة إطلاقا بين الرجل والمرأة [رقم]  إسقاط ولاية الرجل على المرأة [رقم]  الحرية الجنسية واحترام الميول المثلي للنساء [رقم]  حرية سفر المرأة وخروجها وتحررها الجسدي		1	أسس مقاومة الحركة التصحيحية والرد عليها[رقم]المساواة إطلاقا أساس للرجل والمرأة[رقم]إسقاط ولاية الفقيه ومشاركة المرأة[رقم]التربية الجنسية واحترام التمثيل المثلي للفرد[رقم]بجواز سفر المرأة وخروجها القيد المطلق
CT20-AR-08	1223331605583990796	زيادة كبيرة  [رقم] ٪  في معدلات التحرش الجنسي والاغتصاب في الاكاديميات العسكرية الامريكية خلال سنة  قلت  يضعون مجندات شابات في ثكنات ومهاجع الجنود وداخل الاليات والسفن والطائرات   ماذا يتوقعون اذا  [رابط] via [مستخدم]		1	مؤسسة كبيرة[رقم]متخصصة في مواضيع التطرف الجنسي والاغتصاب وداخل الاكاديميات العسكرية الامريكية خلال سنة سوف يضعون خلالها عسكريين في ثكنات ومهاجع الامن وداخل الاليات والسفن الفاخرة فماذا يتوقعون اذا [رابط]التفاصيل[مستخدم]
CT20-AR-08	1222757009604386817	 السعودية  حذر المستشار بالديوان الملكي عضو هيئة كبار العلماء الدكتور عبدالله المطلق من خطورة من وصفهن ب  النسويات  ، وذلك للتأثير على عقول الفتيات ، وغسل أدمغتهن ، وتجميل حياة الحرية في الخارج ليفاجأن بعد هروبهن بالضياع  [رابط]		1	وجاء تحذير المستشار بالديوان المستشار عضو هيئة كبار العلماء الدكتور محمود المطلق من خطورة من وصفهن ب النسويات الجهادية الساعية للتأثير على عقول الفتيات ، وصياغة أدمغتهن ، وطلب حياة الحرية في الخارج والشعور بعد حين بالضياع [رابط]
CT20-AR-08	1222769151372091392	امن الدولة وحقوق الانسان اكدوا ان النسوية فكر جميل ولا يمت للتجريم بأي صلة  وبنفس الوقت امن الدولة وحقوق الانسان ومحمد بن سلمان طال عمره اكدوا ان الصحوة والصحونج مجرد ارهابيين وسوف ندمرهم  اسمع كلامك ولا كلام امن الدولة   طبعا امن الدولة  [رابط] [رابط]		1	امن الدولة وحقوق الفرد اكدوا ان الاعتقالات امر جميل ولو تصل للتجريم بأي صلة انتهى القضية امن الدولة وحقوق الانسان ومحمد بن سلمان طال العهد اكدوا ان الصحوة والصحونج مجرد ارهابيين وسوف ندمرهم اسمع كلامك ما ننسى امن الدولة طبعا امن الدولة [رابط][رابط]
