topic_id	tweet_id	tweet_text	claim	claim_worthiness	WE_text
CT20-AR-05	1222154610779086849	عدم حضور نواب حزب القوات اللبنانية لجلسة إقرار الموازنة في البرلمان يؤكد على انها كانت وستبقى صرخة الشعب وثورته ضد الفساد والمؤامرات والتسويات والشعب بات يعلم حقيقة من يمثله فعليا  في البرلمان ومن يشتهي السلطة على حساب ألمه ومعاناته   لبنان  ينتفض		1	على مغادرة نواب حزب القوات اللبنانية لجلسة إقرار الموازنة في البرلمان يؤكد على القضية كانت وستبقى صرخة الشعب وثورته بوجه الفساد والمؤامرات والتسويات والشعب بات يعرف اليوم من يمثله الموجود في موقعه ومن كان وجوده على حساب ألمه ومعاناته لبنان ينتفض
CT20-AR-05	1221743115482038272	 عاجل  إصابة [رقم] متظاهرا بمواجهات مع الأمن أمام مقر  مجلس  النواب وسط  بيروت  الصليب الأحمر اللبناني  [رابط]		1	عاجل الحكومة[رقم]جرحى بمواجهات مع متظاهرين أمام مقر مجلس النواب وسط الكويت الجيش الأحمر لبنان [رابط]
CT20-AR-05	1221854655786954759	جلسة موازنة [رقم]   دخل النواب بالتحايل الى المجلس  حضر الجلسة رئيس الحكومة منفردا   خفض رئيس المجلس كلمات النواب من [رقم] الى [رقم] كلمات لاسباب امنية   منع البث عند التصويت للموازنة ،  خرج النواب هريبة والله عيب ، هاي تهريبة موازنة  مجلس  النواب  انتخابات  نيابية  مبكرة [رابط]		1	ملحق موازنة[رقم]دخل النواب بالتحايل الى التداول حضر النصاب رئيس الجلسة منفردا نقص عدد المجلس كلمات النواب ص[رقم]30[رقم]كلمات لاسباب امنية منع البث عند التصويت للموازنة ، خرج النواب للتظاهر والله عيب ، مطلوب حكومة قانون ، جمعية نيابية عامة مبكرة [رابط]
CT20-AR-05	1221732075499327488	نائب كتلة المستقبل سمير الجسر من  مجلس  النواب هذه الجلسة غير دستورية		1	عضو كتلة النضال باسم الجسر من مجلس النواب هذه الآلية غير دستورية
CT20-AR-05	1224792724181848065	لائحة السياسيين المطرودين من المطاعم و الاماكن العامة من قبل الشعب فؤاد السنيورة يوسف فنيانوس اميل رحمة جوزيف ابو فاضل ايلي الفرزلي سامي فتفت نائبة رئيس التيار مارتين نجم و الليلة زياد اسود  يلي كان مخبى ورا برداية   لبنان  ينتفض		1	لائحة السياسيين المطرودين الى المطاعم و المحلات العامة كانوا داخل النظام رشيد السنيورة يوسف جعجع اميل رحمة جوزيف ابو فاضل ايلي الفرزلي سامي الشهيد نائبة رئيس التيار سوزان نجم و الليلة زياد اسود يلي كان يطلع ورا برداية لبنان ينتفض
CT20-AR-05	1221723209382363136	 مجلس  النواب محتجو لبنان منذ البدء لا يملكون آلية إنتقال للسلطة والآن يراشقون قوى الأمن بالحجارة لمنع مجلس النواب من العمل وأعلنوا رفضهم لحكومة الرئيس دياب التي يجب أن تمنح فرصة للعمل هذا الوضع لا ينتج إلا الفوضى و خطر إستغلالها من حاقدين فهل تريدونها  مؤسسات لبنان يجب أن تعمل		1	مجلس النواب و لبنان منذ البدء لا يملكون سلطة إنتقال للسلطة والآن يراشقون دوريات الأمن بالحجارة عند مجلس الشورى ، العمل وأعلنوا رفضهم لحكومة الرئيس ميقاتي التي يجب أن تمنح الحرية للعمل هذا الأسلوب لا ينتج إلا الفوضى و خطر إستغلالها من حاقدين فهل تريدونها مؤسسات لبنان يجب لا تعمل
CT20-AR-05	1222081538675953664	 لبنان  ينتفض يوم البارحة كان حافلا في  بيروت ، تخلله نشر قوات النخبة في الجيش حول البرلمان لمواجهة المحتجين على إقرار الموازنة ، التي مررت في جلسة سرية ووصفها أحد الاقتصاديين بأنها  ورقة لا قيمة لها  [رابط] [رابط]		1	لبنان ينتفض الأداء أمس كان سلبيا في بيروت ، تخلله مواجهات قوت النخبة في الجيش وداخل البرلمان لملاحقة المحتجين على إقرار الموازنة ، التي مررت في جلسة مفتوحة وأكد أحد الاقتصاديين أنها ورقة لا قيمة لها [رابط][رابط]
CT20-AR-05	1221725400759459851	التعاطي مع الاعلام لم يتغير  القوى الامنية تقول انها  منطقة عسكرية  وتمنع الاعلام من التقدم   الافراط بالاستعراض الامني واضح  لبنان  ينتفض [رابط]		1	التمثيل بوزارة الاعلام لم يعجب القائمة الرئيسية تقول انها تدخل ممنوع وتمنع الاعلام من التقدم الافراط بالاستعراض الامني واضح لبنان ممنوع [رابط]
CT20-AR-05	1224694200979148801	دولة غائبة عن تأمين الأمن دولة غائبة عن دعم الرياضة دولة غائبة عن تحقيق العدالة دولة غائبة عن تسهيل التجارة دولة غائبة عن تطوير الصناعة دولة غائبة عن تحفيز السياحة دولة غائبة عن مساعدة الفقراء دولة غائبة عن الحفاظ على البيئة دولة غائبة عن تنمية قدرات الشباب  لبنان  ينتفض [رابط]		1	دولة غائبة عن تأمين الأمن مدينة غائبة إلى دعم الرياضة دولة غائبة على تحقيق الإنجازات دولة غائبة عن تسهيل الاستثمارات محافظة غائبة عن تطوير الصناعة دولة غائبة عن تحفيز المشاريع بدولة غائبة عن مساعدة الفقراء مدرسة غائبة عن الحفاظ على البيئة دولة غائبة عن تحفيز قدرات الشباب لبنان ينتفض [رابط]
CT20-AR-05	1224737671295012865	قطع طريق مفرق جب جنين بعد اعتقال المتظاهرين  لبنان  ينتفض [رابط]		1	وأغلق طريق مفرق جب جنين بعد اعتقال متظاهرين اثنين ، [رابط]
