topic_id	tweet_id	tweet_text	claim	claim_worthiness	Gen_text
CT20-AR-19	1230086430254387200	سقط نحو أكثر من [رقم] مدني من بينهم [رقم] طفلا ، ونزح أكثر من [رقم] ألف نسمة من سكان المدينة ، ولا يزال يمارس أردوغان أبشع الجرائم في شمال سوريا    اردوغان  النازي  الجديد [رابط]		1	سقط نحو أكثر من [رقم] مدني من بينهم [رقم] طفلا ، ونزح أكثر من [رقم] ألف نسمة من سكان المدينة ، ولا يزال يمارس أردوغان أبشع الجرائم في شمال سوريا اردوغان النازي الجديد [رابط]
CT20-AR-19	1230164895917838336	بيدرسون  روسيا ضالعة في العمليات العسكرية التي يشنها النظام في إدلب  جلسة لمجلس الأمن  بيدرسون  بإمكان تركيا وروسيا خفض التصعيد في إدلب ويجب على البلدين القيام بذلك يدرسون  وحدة الأراضي السورية معرضة لخطر داهم وما زلنا بعيدين عن التوصل إلى سلام		1	"بيدرسون روسيا ضالعة في العمليات العسكرية التي يشنها النظام في إدلب جلسة لمجلس الأمن بيدرسون بإمكان تركيا وروسيا خفض التصعيد في إدلب ويجب على البلدين القيام بذلك يدرسون وحدة الأراضي السورية معرضة لخطر داهم وما زلنا بعيدين عن التوصل إلى سلام دائم.ومن المقرر أن يلتقي وزير الخارجية الروسي سيرغي لافروف مع نظيريه التركي مولود جاويش أوغلو والإيراني محمد جواد ظريف في موسكو يوم الجمعة المقبل لبحث الوضع في إدلب شمال غرب سوريا ، وفق ما أعلنت وزارة الخارجية الروسية الاثنين.وقال المتحدث باسم الوزارة ألكسندر لوكاشيفيتش إن الوزيرين سيبحثان "" عددا من القضايا الإقليمية والدولية ذات الاهتمام المشترك ولا سيما الوضع في سوريا "".وأضاف : "" سيناقش الوزيران الأوضاع في محافظة إدلب ( شمال غرب ) وكذلك الوضع في مدينة حلب ( شمال ) حيث تجري مفاوضات بين ممثلين عن الحكومة السورية والمعارضة المسلحة برعاية منظمة الأمم المتحدة "".وتابع قائلا : "" كما سيتطرق الوزيران أيضا إلى قضايا إقليمية ودولية ذات اهتمام مشترك ولا سيما النزاع الفلسطيني الإسرائيلي والوضع في كل من العراق وسوريا ""."
CT20-AR-19	1230829049242693633	تركيا  إردوغان يدعو لإقامة منطقة آمنة بعمق يتراوح بين [رقم] و [رقم] كيلومترا في سوريا		1	"تركيا إردوغان يدعو لإقامة منطقة آمنة بعمق يتراوح بين [رقم] و [رقم] كيلومترا في سوريا و [تأشيرة تركية] من أجل اللاجئين السوريين! [رابط]وزير الدفاع التركي : لدينا أدلة على مسؤولية بن سلمان عن قتل خاشقجي وشاركناها مع بعض دول الناتومستوطنون يجرفون عشرات الدونمات في الأغوار الشماليةفتح نقابة الصحفيين تطالب اتحاد البث الأوروبي بعدم تغطية مسابقة "" اليوروفجن "" فتح إصابات بالاختناق عقب اقتحام قوات الاحتلال بلدة سبسطيةفتح "" الجنايات الكبرى "" تدين متهمين بتسريب أراض للعدوفتح الاحتلال يغلق المدخل الرئيسي لقرية الولجةفتح برلمانيون ونقابيون و "" لجنة الحوار "" يؤكدون : حقوق عمالنا داخل ال 48 حقوق فردية لن يتم المساس بهافتح "" الخارجية "" باليوم العالمي للطفل : من حق أطفال فلسطين عيش حياة خالية من تهديدات الاحتلالفتح أبو هولي يدين هدم الاحتلال 20 متجرا في مخيم شعفاطفتح 191 مستوطنا وطالبا تلموديا يقتحمون الأقصىفتح "" فتح "" : مبادرة السلام العربية تتحدث عن الانسحاب مقابل العلاقات الطبيعية وليس العكسفتح """
CT20-AR-19	1230502282359398401	بواقعية   حتى الآن   تمهيد عنيف لقوات الثوار و الجيش التركي على ثكنات النظام في النيرب و سراقب و محيطها   التقدم كان على الحي الغربي لمدينة النيرب ، لكن لم يفلح الثوار بدخول كامل المدينة ، وما تزال الاشتباكات على أطرافها 		1	بواقعية حتى الآن تمهيد عنيف لقوات الثوار و الجيش التركي على ثكنات النظام في النيرب و سراقب و محيطها التقدم كان على الحي الغربي لمدينة النيرب ، لكن لم يفلح الثوار بدخول كامل المدينة ، وما تزال الاشتباكات على أطرافها مستمرة.أما حي جوبر الدمشقي فقد شهد معارك ضارية بين الثوار وقوات النظام أسفرت عن مقتل أكثر من عشرين عنصرا من قوات النظام بينهم ضابط برتبة عقيد بالإضافة إلى عدد كبير من عناصر حزب الله اللبناني الذي يقاتل تحت لواء الحرس الثوري الإيراني.وفي الغوطة الشرقية بريف دمشق قتل ما لا يقل عن 12 عنصرا من القوات النظامية والمسلحين الموالين لها خلال ال 24 ساعة الماضية ، وفق ما أفاد المرصد السوري لحقوق الإنسان.
CT20-AR-19	1230598053477994497	في خضم التوتر التركي الروسي في سوريا ، يزور السراج إسطنبول بعد زيارة حفتر لموسكو  لا يمكن فصل ما يجري في إدلب عما يجري في ليبيا ، وأي تصعيد أكبر في إدلب سيقابله تصعيد مماثل في ليبيا  صراع إرادات بين أردوغان وبوتين ، بينما الغربيون يسعون لتغذية هذا الصراع لإبعاد تركيا عن روسيا 		1	"في خضم التوتر التركي الروسي في سوريا ، يزور السراج إسطنبول بعد زيارة حفتر لموسكو لا يمكن فصل ما يجري في إدلب عما يجري في ليبيا ، وأي تصعيد أكبر في إدلب سيقابله تصعيد مماثل في ليبيا صراع إرادات بين أردوغان وبوتين ، بينما الغربيون يسعون لتغذية هذا الصراع لإبعاد تركيا عن روسيا.منذ اندلاع الثورة السورية قبل أكثر من ثلاث سنوات ، لم يكن النظام قادرا على السيطرة على كامل الجغرافيا السورية ، ولم تكن لديه القدرة على الحسم العسكري ، بل كان يعتمد على الميليشيات المسلحة التي تقاتل إلى جانب قوات الأسد ، أما اليوم فقد صارت هذه الميليشيات تسيطر على مساحات واسعة من الأراضي السورية بما فيها محافظة إدلب ( شمال غربي سورية ) وبعض مناطق ريف حماة الشمالي وريف اللاذقية الشمالي الشرقي وأجزاء من محافظتي درعا والقنيطرة الجنوبيتين.يقول الخبير السياسي والاستراتيجي السوري عبد القادر عزوز ل "" عربي 21 "" إن "" نظام بشار الأسد هو المسؤول الأول عن كل ما جرى ويجري منذ بداية الثورة السورية وحتى الآن ، وهو الذي ارتكب الكثير من المجازر بحق الشعب السوري خلال السنوات الثلاث الماضية ، بدءا من مجزرة الكيماوي في خان شيخون"
CT20-AR-19	1231987896015622146	مسؤول رفيع في البنتاغون للحرة  واشنطن تدرك أهمية العلاقات الاستراتيجية مع تركيا لكن الناتو لن يساعد القوات التركية في أي نزاع داخل سوريا		1	مسؤول رفيع في البنتاغون للحرة واشنطن تدرك أهمية العلاقات الاستراتيجية مع تركيا لكن الناتو لن يساعد القوات التركية في أي نزاع داخل سوريااستقبل مخطوفي محافظة السويداء المحررين مع عائلاتهم … الرئيس الأسد : الدفاع عن سورية في الميدان ولولا الجيش لكان كل الوطن مخطوفاأبادي من حلب : كل المشاريع التي تنتقص من حق الشعب الفلسطيني « مهزومة » … التوصل لاتفاق تهدئة في غزة والمقاومة تنتصر والمستوطنون يرفضون6 مجموعات توليد خارج الخدمة بسبب الصيانات.. ولا نبيع الكهرباء للبنان … خربوطلي ل « الوطن » : الصيانة وانخفاض درجات الحرارة المفاجئ والسرقات رفعت الحمولات 50 بالمئةسورية تدين العدوان : احتلال الأراضي العربية سبب التوتر ونزف الدماء … تداعيات صمود غزة.. حكومة الاحتلال تنزف والفلسطينيون يرحبون« قسد » تستهدف نقاطا للجيش بريف دير الزور والعراق ينفي سيطرته على نقاط داخل سورية … أنقرة تتحرك عبر الأدوات تمهيدا لعدوان محتمل على « منبج »الأمن اللبناني واصل تأمين العودة الطوعية لهم.. وتوقعات بوصول دفعة كبيرة اليوم … موسكو : 1021 مهجرا سوريا
CT20-AR-19	1230182192434864128	المندوب التركي الدائم لدى الأمم المتحدة خلال جلسة مجلس الأمن لمناقشة الأوضاع الإنسانية في  ادلب يؤكد عدم اعتراف  تركيا بالنظام السوري و اعتباره نظاما غير شرعي لمسؤوليته عن قتل وتهجير ملايين السوريين ويطالب المجتمع الدولي بموقف جاد لوقف جرائم الأسد في  ادلب  [رابط]		1	المندوب التركي الدائم لدى الأمم المتحدة خلال جلسة مجلس الأمن لمناقشة الأوضاع الإنسانية في ادلب يؤكد عدم اعتراف تركيا بالنظام السوري و اعتباره نظاما غير شرعي لمسؤوليته عن قتل وتهجير ملايين السوريين ويطالب المجتمع الدولي بموقف جاد لوقف جرائم الأسد في ادلب [رابط] …الأرشيف اختر شهر نوفمبر 2018 ( 122 ) أكتوبر 2018 ( 186 ) سبتمبر 2018 ( 235 ) أغسطس 2018 ( 187 ) يوليو 2018 ( 207 ) يونيو 2018 ( 177 ) مايو 2018 ( 182 ) أبريل 2018 ( 208 ) مارس 2018 ( 221 ) فبراير 2018 ( 262 ) يناير 2018 ( 334 ) ديسمبر 2017 ( 230 ) نوفمبر 2017 ( 196 ) أكتوبر 2017 ( 249 ) سبتمبر 2017 ( 258 ) أغسطس 2017 ( 270 ) يوليو 2017 ( 147 ) يونيو 2017 ( 16 ) مايو 2017 ( 44 ) أبريل 2017 ( 99 ) مارس 2017 ( 112 ) فبراير 2017 ( 65 ) يناير 2017 ( 7 )
CT20-AR-19	1230854510190440448	ضمن الإعدادات الجارية لمعركة إدلب أدخل الجيش التركي اليوم إلى ميدان المعركة راجمة الصواريخ  K عيار [رقم] مم ويبلغ مداها [رقم] كم [رابط]		1	"ضمن الإعدادات الجارية لمعركة إدلب أدخل الجيش التركي اليوم إلى ميدان المعركة راجمة الصواريخ K عيار [رقم] مم ويبلغ مداها [رقم] كم [رابط].ووفقا لما ذكرته صحيفة "" حرييت ديلي نيوز "" التركية ، فإن هذه هي المرة الأولى التي يدخل فيها الجيش التركي إلى منطقة إدلب منذ بدء عملية "" غصن الزيتون "" قبل أكثر من شهر.وأشارت الصحيفة إلى أن القوات المسلحة التركية كانت قد دخلت في وقت سابق من هذا الشهر إلى محافظة إدلب كجزء من عملية عسكرية واسعة النطاق ضد المسلحين الأكراد المدعومين من الولايات المتحدة الأمريكية."
CT20-AR-19	1230488762527948801	وحدات الجيش تتصدى لمحاولة هجوم تنفذها المجموعات المسلحة بمؤازرة جيش الاحتلال التركي على محور بلدة  النيرب غرب  سراقب بريف إدلب الشرقي وسط اشتباكات عنيفة تشهدها المنطقة وقصف جوي ومدفعي كثيف يستهدف مواقع المسلحين في المنطقة [رابط]		1	وحدات الجيش تتصدى لمحاولة هجوم تنفذها المجموعات المسلحة بمؤازرة جيش الاحتلال التركي على محور بلدة النيرب غرب سراقب بريف إدلب الشرقي وسط اشتباكات عنيفة تشهدها المنطقة وقصف جوي ومدفعي كثيف يستهدف مواقع المسلحين في المنطقة [رابط]
CT20-AR-19	1230833388627599361	أردوغان  لن ننسحب من إدلب  وندعو لإقامة منطقة آمنة بعمق يتراوح بين [رقم] و [رقم] كيلومترا في سوريا  حدا يشرحلنا يا جماعة  لأن هيك مسافة فقط لادلب ولا تشمل اريحا والاربعين وجبل الزاوية وشحشبو وسهل الغاب		1	أردوغان لن ننسحب من إدلب وندعو لإقامة منطقة آمنة بعمق يتراوح بين [رقم] و [رقم] كيلومترا في سوريا حدا يشرحلنا يا جماعة لأن هيك مسافة فقط لادلب ولا تشمل اريحا والاربعين وجبل الزاوية وشحشبو وسهل الغاب...
