topic_id	tweet_id	tweet_text	claim	claim_worthiness	en	ar
CT20-AR-01	1222278455653543937	الخارجية  السعودية تؤكد ان المملكة تشجع على بدء مفاوضات مباشرة بين الفلسطينيين والإسرائيليين برعاية أمريكية  الفلسطينيون يرفضون المفاوضات المباشرة   دليلك  الى  بيع  القضية  تسقط  صفقة  القرن  سرقة  القرن		1	The Saudi Foreign Ministry confirms that the Kingdom encourages the start of direct negotiations between the Palestinians and the Israelis under the auspices of the United States Palestinians reject direct negotiations Your evidence to sell the issue Drop the deal of the century The theft of the century	تؤكد وزارة الخارجية السعودية أن المملكة تشجع على بدء المفاوضات المباشرة بين الفلسطينيين والإسرائيليين تحت رعاية الولايات المتحدة الأمريكية ويرفض الفلسطينيون المفاوضات المباشرة وترفض أدلةكم لبيع القضية إسقاط صفقة القرن سرقة القرن
CT20-AR-01	1222279230744035329	 السعودية تبصم على  صفقة  القرن   المملكة تشجع على بدء مفاوضات مباشرة بين الفلسطينيين والإسرائيليين برعاية أميركية   لا  لصفقة  العار  تسقط  صفقة  القرن		1	Saudi Arabia slams deal of the century Saudi Arabia encourages direct negotiations between Palestinians and Israelis under American auspices not for the deal of shame drops deal of the century	السعودية تنتقد صفقة القرن السعودية تشجع المفاوضات المباشرة بين الفلسطينيين والإسرائيليين تحت رعاية أمريكية وليس من أجل صفقة العار
CT20-AR-01	1222546282281127936	حركة  حماس  نعلن رفضنا التام والكامل لصفقة العار وتجندنا الكامل لمواجهتها وتسخير كل الإمكانات والمقدرات لإنجاح الخطوات العملية لصدها وإنهائها جنبا إلى جنب مع كل قوى الوطن  تسقط  صفقه  القرن [رابط]		1	Hamas announces our total rejection of the deal of shame and our full recruitment to confront it and harness all the possibilities and capabilities to succeed in the practical steps to repel and end it along with all the forces of the homeland fall deal century [link]	حماس تعلن رفضها التام لصفقة العار وتجنيدنا الكامل لمواجهتها وتسخير كل الإمكانيات والإمكانات للنجاح في الخطوات العملية لصدها وإنهائها مع كل قوى الوطن سقوط صفقة القرن
CT20-AR-01	1222587714198855680	المجلس التشريعي الفلسطيني يدعو الرئيس محمود عباس إلى إلغاء التنسيق الأمني مع الاحتلال الإسرائيلي كرد على ما يسمى ب  صفقة  القرن   أخبار  العربي [رابط]		1	The Palestinian Legislative Council calls on President Mahmoud Abbas to cancel security coordination with the Israeli occupation as a response to the so-called Deal of the Century [link]	المجلس التشريعي الفلسطيني يدعو الرئيس محمود عباس إلى إلغاء التنسيق الأمني مع الاحتلال الإسرائيلي ردا على ما يسمى بصفقة القرن
CT20-AR-01	1222540820710133760	مواطنون في البحرين يعبرون عن رفضهم لصفقة القرن وينددون بمشاركة سفير بلادهم لدى واشنطن في حفل الإعلان عنها بواشنطن  بحرينيون  ضد  صفقة  القرن  صفقة  القرن  لن  تمر [رابط]		1	Citizens in Bahrain express their rejection of the deal of the century and condemn the participation of their country's ambassador to Washington in the ceremony announced in Washington Bahrainis against the deal of the century The deal of the century will not pass [link]	يعبر المواطنون في البحرين عن رفضهم لصفقة القرن ويدينون مشاركة سفير بلادهم في واشنطن في الحفل المعلن في واشنطن البحرينيين ضد صفقة القرن صفقة القرن لن تمر
CT20-AR-01	1222216433419063296	 عاجل   نتنياهو  يسعدني أن أرى سفراء الإمارات والبحرين وعمان هنا وهذا مؤشر لا للمستقبل فحسب بل للحاضر  لا  لبصقة  القرن [رابط]		1	I am pleased to see the ambassadors of the UAE, Bahrain and Oman here, and this is an indication not only of the future, but of the present, not of the spit of the century.	يسرني أن أرى سفراء الإمارات والبحرين وعمان هنا ، وهذا مؤشر ليس فقط على المستقبل ، ولكن الحاضر ، وليس بصاق القرن.
CT20-AR-01	1222975624568090629	 عاجل  الرئيس التونسي في حوار تليفزيوني بمناسبة مرور [رقم] يوم على توليه منصبه   صفقة  القرن هي مظلمة القرن والتطبيع خيانة عظمى ، والصفقة ليست مقبولة بأي مقياس من المقاييس وفلسطين ليست ضيعة أو بستانا يباع ويشترى [رابط]		1	Urgent Tunisian President in a TV interview on the occasion of the passage of [number] the day of taking office the deal of the century is a dark century and normalization is a great betrayal, and the deal is not acceptable by any measure and Palestine is not a wasteland or a garden to be sold and bought [link]	عاجل الرئيس التونسي في مقابلة تلفزيونية بمناسبة مرور [عدد] يوم توليه منصبه صفقة القرن قرن مظلم والتطبيع خيانة كبيرة، والصفقة غير مقبولة بأي مقياس وفلسطين ليست أرضاً قاحلة أو حديقة تباع وتشترى [link]
CT20-AR-01	1222570070607650817	 جوزيف  أبو  فاضل  معظم الإنتقادات والإستنكارات والشجب العربية والإسلامية ضد  صفقة  القرن هي كذب وخداع ، كما حصل بأعوام [رقم] و [رقم] و [رقم] و [رقم] و [رقم] و [رقم] على سوريا  الأسد ويوم إعلان القدس عاصمة ل  إسرائيل  المظاهرات والإستنكارات والخطابات والمسيرات والمؤتمرات ذاتها    أمة عميلة خسيسة رخيصة		1	Joseph Abu Fadel Most Arab and Islamic criticisms, denunciations and denunciations against the deal of the century are lies and deception, as happened in years [number], [number], [number], [number], [number] and [number] on Syria Assad and the day of declaring Jerusalem as the capital of Israel.	معظم الانتقادات العربية والإسلامية، والإدانات والشجب ضد صفقة القرن هي أكاذيب وخداع، كما حدث في السنوات [عدد]، [عدد]، [عدد]، [عدد]، [عدد] و[عدد] على سوريا الأسد ويوم إعلان القدس عاصمة لإسرائيل.
CT20-AR-01	1222272857918578688	تظاهرة غاضبة أمام القنصلية الأمريكية بمدينة إسطنبول التركية رفضا لصفقة القرن ، في هذه الأثناء   تسقط  صفقة  القرن [رابط]		1	Angry demonstration in front of the US consulate in Istanbul rejecting the deal of the century, in the meantime drops the deal of the century [link]	مظاهرة غاضبة أمام القنصلية الأمريكية في اسطنبول ترفض صفقة القرن ، في هذه الأثناء تسقط صفقة القرن [link]
CT20-AR-01	1222636543761887233	مقال بهاآرتس الإسرائيلية  خطة  ترمب للسلام وصفة للحرب وليس السلام  صفقة  القرن  FreePalestine [رابط]		1	Israel's Haaretz article Trump's peace plan is a recipe for war, not peace FreePalestine Deal of the Century	خطة ترامب للسلام هي وصفة للحرب، وليس السلام صفقة فلسطين الحرة للقرن.
CT20-AR-01	1222571105707352066	في موقف لم يجرؤ عليه حكام ومسئولو العرب المنبطحين للكيان الصهيوني المجرم ردت مندوبة كوبا في منظمة الأمم المتحدة للعلوم والثقافة  اليونسكو  على المندوب الصهيوني للكيان المحتل ، ردا مزلزلا حينما طالب بالوقوف دقيقية حداد على من أسماهم بضحايا المحارق اليهودية   صفقة  القرن  لن  تمر [رابط]		1	In a situation that was not dared by the Arab rulers and officials of the criminal Zionist entity, Cuba's representative to the United Nations Educational, Scientific and Cultural Organization (UNESCO) responded to the Zionist representative of the occupying entity, an earthquake response when he called for a minute of mourning for the victims of the Jewish Holocaust The deal of the century will not pass [link]	في وضع لم يجرؤ عليه الحكام العرب ومسؤولو الكيان الصهيوني الإجرامي ، رد ممثل كوبا لدى منظمة الأمم المتحدة للتربية والعلم والثقافة (اليونسكو) على الممثل الصهيوني للكيان المحتل ، وهو استجابة زلزالية عندما دعا إلى دقيقة حداد لضحايا المحرقة اليهودية لن تمر صفقة القرن [link]
CT20-AR-01	1222622946360950786	تحية للصومال وشعبها الحر   مجلس الشيوخ الصومالي يهاجم ترامب ، ويعلن رفضه ل  صفقة  القرن  ويجدد التأكيد على موقفه الداعم للشعب الفلسطيني  [رابط]		1	Tribute to Somalia and its Free People The Somali Senate attacks Trump, declares its rejection of the Deal of the Century and reaffirms its position in support of the Palestinian people	مجلس الشيوخ الصومالي يهاجم ترامب ويعلن رفضه لصفقة القرن ويؤكد موقفه الداعم للشعب الفلسطيني
CT20-AR-01	1222231443918721026	صور مظاهرة غضب حاشدة في مدينة رام الله رفضا ل  صفقة  القرن التي أعلنها ترمب ونتنياهو لإنهاء الوجود الفلسطيني   لا  لبصقة  القرن  تسقط  صفقة  القرن [رابط]		1	Photos of a mass anger demonstration in the city of Ramallah rejecting the deal of the century announced by Trump and Netanyahu to end the Palestinian presence not to spit the century drop the deal of the century [link]	صور لمظاهرة غضب جماهيرية في مدينة رام الله رافضة صفقة القرن التي أعلنها ترامب ونتنياهو لإنهاء الوجود الفلسطيني وعدم البصق قرن إسقاط صفقة القرن
CT20-AR-01	1222587207875289089	تظاهرات الغضب تعم الشارع الفلسطيني رفضا ل  صفقة  القرن  سرقة  القرن [رابط]		1	Protests rage across the Palestinian street in rejection of the deal of the century theft of the century [link]	احتجاجات عارمة في الشارع الفلسطيني رفضاً لصفقة القرن سرقة القرن [link]
CT20-AR-01	1222916378409172997	لم تخرج أي تصريحات رسمية من أي مسؤول في العالم الإسلامي ترفض ما يسمى ب  صفقة  القرن سوى من الرئيس أردوغان أغلب ظني أن جامعة الدول العربية سوف تنتقد الموقف التركي  		1	There have been no official statements from any official in the Islamic world rejecting the so-called deal of the century except from President Erdogan, most of whom think that the Arab League will criticize the Turkish position.	لم تصدر تصريحات رسمية من أي مسؤول في العالم الإسلامي يرفض ما يسمى بصفقة القرن إلا من الرئيس أردوغان، الذي يعتقد معظمهم أن الجامعة العربية ستنتقد الموقف التركي.
CT20-AR-01	1222984684495417351	قبل أكثر من قرن ، جمع أثرياء اليهود [رقم] مليون ليرة ذهبية وعرضوا على السلطان عبد الحميد الثاني سداد ديون الدولة العثمانية مقابل تمكين اليهود من الهجرة إلى فلسطين ، فرفض بشكل قاطع  واليوم  محمد بن سلمان ومحمد بن زايد  جمعوا [رقم] مليار دولار لتنفيذ  صفقة  القرن خدمة للصهاينة المحتلين  		1	More than a century ago, wealthy Jews collected a million gold liras and offered Sultan Abdul Hamid II to pay off the debts of the Ottoman Empire in exchange for enabling Jews to emigrate to Palestine.	قبل أكثر من قرن، جمع اليهود الأثرياء مليون ليرة ذهبية وعرضوا على السلطان عبد الحميد الثاني سداد ديون الإمبراطورية العثمانية مقابل تمكين اليهود من الهجرة إلى فلسطين.
