topic_id	tweet_id	tweet_text	claim	claim_worthiness	en	ar
CT21-AR-02	1347337912745037824	 ترامب  من شاركوا في أعمال العنف بمبنى  الكونغرس لا يمثلون بلدنا وسيدفعون الثمن	1.0	1	Those who participated in the violence in the Congress building do not represent our country and will pay the price.	أولئك الذين شاركوا في أعمال العنف في مبنى الكونغرس لا يمثلون بلدنا وسيدفعون الثمن.
CT21-AR-02	1347707160365588480	تويتر  قرار إلغاء حساب  ترمب بشكل دائم جاء بعد مراجعة دقيقة لتغريداته مؤخرا وخوفا من خطر المزيد من التحريض على العنف  أمريكا [رابط]	1.0	1	Twitter’s decision to permanently cancel Trump’s account came after a careful review of his recent tweets and for fear of the risk of further incitement to violence.	وجاء قرار تويتر بإلغاء حساب ترامب بشكل دائم بعد مراجعة دقيقة لتغريداته الأخيرة وخوفا من خطر المزيد من التحريض على العنف.
CT21-AR-02	1347716374529933312	الأحداث تتسارع والطريق بين البيت الأبيض والمحاكم الأمريكية يتقلص  هل خطر على بال  ترامب أنه سيخرج من البيت الأبيض إلى المحاكمة  [رابط]	1.0	1	Events are accelerating and the road between the White House and US courts is shrinking Does it ever occur to Trump that he will be out of the White House to trial	الأحداث تتسارع والطريق بين البيت الأبيض والمحاكم الأمريكية يتقلص هل يخطر ببال ترامب أنه سيخرج من البيت الأبيض للمحاكمة؟
CT21-AR-02	1348664896628678657	أصدرت بيلوسي إنذارا لمدة [رقم] ساعة لنائب الرئيس مايك بنس لاستدعاء التعديل الخامس والعشرين لإقالة الرئيس ترامب بسبب اضطرابات الكابيتول الأمريكية أو أن التصويت على عزل الرئيس سيطرح في مجلس النواب  [رابط]	1.0	1	Pelosi issued an hour-long [number] warning to Vice President Mike Pence to invoke the 25th Amendment to impeach President Trump over the U.S. Capitol Troubles or that a vote to impeach the president would be tabled in the House of Representatives.	أصدرت بيلوسي تحذيرًا لمدة ساعة لنائب الرئيس مايك بنس للتذرع بالتعديل الخامس والعشرين لعزل الرئيس ترامب بسبب مشاكل الكابيتول الأمريكية أو أن التصويت على عزل الرئيس سيتم طرحه في مجلس النواب.
CT21-AR-02	1347400134787792899	هددت رئيسة مجلس النواب الأمريكي نانسي بيلوسي ببدء إجراءات عزل الرئيس المنتهية ولايته دونالد ترامب ، داعية إلى تفعيل المادة [رقم] من الدستور الخاصة بتنحية الرئيس  [رابط]	1.0	1	U.S. House Speaker Nancy Pelosi threatened to begin impeachment proceedings against outgoing President Donald Trump, calling for the activation of Article [number] of the Constitution to remove the president.	هددت رئيسة مجلس النواب الأمريكي نانسي بيلوسي ببدء إجراءات المساءلة ضد الرئيس المنتهية ولايته دونالد ترامب ، داعية إلى تفعيل المادة [رقم] من الدستور لإقالة الرئيس.
CT21-AR-02	1348081480166158344	عاجل  فورين بوليسي  مسؤولون بوزارة الخارجية يقدمون لبومبيو برقية ثانية تدين ترمب بالتحريض على اقتحام الكونغرس	1.0	1	State Department officials present Pompeo with a second cable condemning Trump for inciting a congressional break-in.	يقدم مسؤولو وزارة الخارجية بومبيو ببرقية ثانية تدين ترامب لتحريضه على اقتحام الكونغرس.
CT21-AR-02	1347686217169719296	تويتر تغلق حساب  ترمب بشكل دائم [رابط]	1.0	1	Twitter permanently shuts down Trump account	تويتر يغلق حساب ترامب بشكل دائم
CT21-AR-02	1348192976225275906	 مباشر  بيلوسي تطالب أعضاء الكونغرس بالاجتماع للبدء بإجراءات محاكمة  ترمب وعزله   نشرة الأخبار من التلفزيون العربي [رابط]	1.0	1	Pelosi calls on members of Congress to meet to begin Trump trial proceedings and remove him from the news bulletin of Arab television [link]	بيلوسي تدعو أعضاء الكونغرس للاجتماع لبدء إجراءات محاكمة ترامب وإزالته من نشرة أخبار التلفزيون العربي
CT21-AR-02	1347706691605979136	بعد حظر حساب الرئيس الامريكي نهائيا   حساب جديد يظهر على تويتر يحمل اسم  جون بارون  وصورة معدلة بالفوتوشوب للرئيس الأمريكي يقول فيها التعريف  لست دونالد  ترمب  اللافت أن الحساب بدأ يستقطب عشرات آلاف المتابعين دون التأكد من هوية صاحبه  عبر هذا الحساب [مستخدم]	1.0	1	After the US president's account was permanently banned, a new account appears on Twitter with the name of John Barron and a photo modified Photoshop of the US president in which the definition says not Donald Trump remarkable that the account began to attract tens of thousands of followers without confirming the identity of the owner through this account [user]	بعد أن تم حظر حساب الرئيس الأمريكي بشكل دائم ، يظهر حساب جديد على تويتر باسم جون بارون وصورة معدلة فوتوشوب للرئيس الأمريكي حيث يقول التعريف إن دونالد ترامب لم يلاحظ أن الحساب بدأ يجذب عشرات الآلاف من المتابعين دون التأكد من هوية المالك من خلال هذا الحساب.
CT21-AR-02	1348731441933398017	ماذا سيخسر  ترمب في حال عزله  [رابط]	1.0	1	What would he lose if he were to be impeached?	ما الذي سيخسره إذا تم عزله؟
