topic_id	tweet_id	tweet_text	claim	claim_worthiness	en	ar
CT20-AR-30	1229471416925507584	نائب وزير الخارجية خالد الجارالله  وساطة الكويت لحل  الأزمة  الخليجية مستمرة ولم نفقد الامل في الحل   لكن لا نزال نشعر بالإحباط من استمرار الخلاف بين الأشقاء في دول المجلس [رابط]		1	Deputy Foreign Minister Khalid Al-Jarallah The mediation of Kuwait to resolve the Gulf crisis continues and we have not lost hope of a solution, but we are still frustrated by the continued disagreement between brothers in the GCC countries [link]	نائب وزير الخارجية خالد الجار الله تستمر وساطة الكويت لحل الأزمة الخليجية ولم نفقد الأمل في التوصل إلى حل ، لكننا ما زلنا محبطين من استمرار الخلاف بين الأشقاء في دول مجلس التعاون الخليجي [link]
CT20-AR-30	1229497936607883266	الجارالله  الوساطة الكويتية لحل «  الأزمة  الخليجية » مستمرة   ولن نفقد الأمل أكد أن علاقاتنا متطورة ومتميزة مع  كندا ونتطلع لتعزيزها [رابط] [رابط]		1	"Al-Jarallah Kuwaiti mediation to resolve the ""Gulf crisis"" continues and we will not lose hope He stressed that our relations are developed and distinct with Canada and we look forward to strengthening them [link] [link]"	"تستمر الوساطة الكويتية لحل ""أزمة الخليج"" ولن نفقد الأمل في أن علاقاتنا متطورة ومتميزة مع كندا ونتطلع إلى تعزيزها [link] [link]"
CT20-AR-30	1229361997818613761	تكشف السر حول كذب هؤلاء المرتزقة على السعودية   خطابا لقناة الجزيرة بتاريخ [رقم]  [رقم]  [رقم] م ، موجها من مدير عام القناة إلى المدير المالي ، يتضمن اعتماد صرف مكافآت مالية لقائمة من مذيعي القناة  تنفيذا للتوجيهات الأميرية    [رابط]  سفيه  الدوحه  وجزيه  المرتزقه		1	Reveals the secret about the lie of these mercenaries on Saudi Arabia A letter to Al-Jazeera channel dated [No.] [No.] [No.] M, addressed by the Director General of the channel to the Director of Finance, includes the adoption of the payment of financial rewards to a list of broadcasters of the channel in implementation of the directives of the Amiri [link] Sufiya Doha and the tribute of mercenaries	رسالة إلى قناة الجزيرة بتاريخ [لا] [لا] [لا] م، موجهة من مدير عام القناة إلى مدير المالية، تتضمن اعتماد دفع مكافآت مالية لقائمة مذيعي القناة تنفيذا لتوجيهات أميري صوفيا الدوحة وتكريم المرتزقة
CT20-AR-30	1229395526187126784	نفي جماعي من الإعلاميين العاملين في  قناة  الجزيرة لكتاب متداول يظهر مكافآت وزعت لهم ، ويؤكدوا أنه مفبرك وغير صحيح وإجمالي المبلغ المكتوب لا يساوي مجموع الأرقام الخيالية [رابط]		1	The mass denial of media workers in Al Jazeera of a rolling book showing bonuses distributed to them, and confirm that it is fabricated and incorrect and the total amount written is not equal to the total of imaginary figures [link]	الإنكار الجماعي للعاملين الإعلاميين في الجزيرة لكتاب متداول يعرض مكافآت توزع عليهم، ويؤكد أنه ملفق وغير صحيح وأن المبلغ الإجمالي المكتوب لا يساوي مجموع الأرقام الوهمية [link]
CT20-AR-30	1229333418124681216	خطابا مسربا يحمل شعار قناة الجزيرة القطرية بتاريخ [رقم]  [رقم]  [رقم] م ، موجها من مدير عام القناة بإعتماد صرف مكافآت مالية لقائمة من مذيعي القناة تنفيذا للتوجيهات الأميرية التي تضمنت الموافقة للطلبات المقدمة للديوان الأميري القطري بقيمة إجمالية [رقم]  [رقم]  [رقم] مليون وسبعمائة ألف دولار [رابط]		1	A leaked letter bearing the logo of the Qatari Al-Jazeera channel on the date of [No.] [No.] [No.] M, addressed by the Director General of the channel to approve the payment of financial rewards to a list of broadcasters of the channel in implementation of the directives of the Emiri, which included approval of requests submitted to the Qatari Amiri Diwan with a total value of [No.] [No.] million and seven hundred thousand dollars [link]	رسالة مسربة تحمل شعار قناة الجزيرة القطرية بتاريخ [لا.] [لا.] [لا.] م، موجهة من مدير عام القناة للموافقة على دفع مكافآت مالية لقائمة مذيعي القناة تنفيذا لتوجيهات أميري، والتي تضمنت الموافقة على الطلبات المقدمة إلى الديوان الأميري القطري بقيمة إجمالية [لا.] [لا.] مليون وسبعمائة ألف دولار
CT20-AR-30	1229463561090543617	نائب وزير الخارجية « خالد الجارالله »   الوساطة الكويتية لحل  الأزمة  الخليجية مستمرة  كنا ولازلنا نشعر بالاحباط لوجود وإستمرار هذا الخلاف بين  الأشقاء ما ذكره وزير الخارجية القطري يؤكد ما سبق وذكرناه   أنه لا جديد في الأزمة  [رابط]		1	Deputy Foreign Minister «Khalid Al-Jarallah» Kuwaiti mediation to resolve the Gulf crisis continues We were and still are frustrated with the existence and continuation of this dispute between brothers What the Qatari Foreign Minister said confirms what we have said that there is nothing new in the crisis [link]	نائب وزير الخارجية «خالد الجارالله» الوساطة الكويتية لحل الأزمة الخليجية مستمرة كنا وما زلنا نشعر بالإحباط من وجود واستمرار هذا الخلاف بين الأشقاء ما قاله وزير الخارجية القطري يؤكد ما قلناه من أنه لا يوجد شيء جديد في الأزمة
CT20-AR-30	1229456918172880898	نائب وزير الخارجية الكويتي خالد الجارالله  وساطة  الكويت لحل الأزمة الخليجية مستمرة ولم نفقد الامل في الحل ، لكن لا نزال نشعر بالإحباط من استمرار الخلاف بين الأشقاء دول المجلس  ما ذكره وزير الخارجية القطري يؤكد ما سبق وذكرناه   أنه لا جديد في الأزمة [رابط]		1	Kuwaiti Deputy Foreign Minister Khalid Al-Jarallah The mediation of Kuwait to resolve the Gulf crisis continues and we have not lost hope of a solution, but we are still frustrated by the continued disagreement between the GCC countries What the Qatari Foreign Minister has said confirms what we have said that there is nothing new in the crisis [link]	نائب وزير الخارجية الكويتي خالد الجار الله إن وساطة الكويت لحل الأزمة الخليجية مستمرة ولم نفقد الأمل في التوصل إلى حل ، لكننا ما زلنا محبطين من استمرار الخلاف بين دول مجلس التعاون الخليجي ما قاله وزير الخارجية القطري يؤكد ما قلناه أنه لا يوجد شيء جديد في الأزمة.
CT20-AR-30	1229315312635596801	نقدم لكم جميع خدمات التنظيف المنزلية للتواصل على الخاص  سفيه  الدوحه  وجزيه  المرتزقه [رابط]		0	We offer you all home cleaning services to communicate on your Safiya Doha and tribute mercenary [link]	نحن نقدم لك جميع خدمات تنظيف المنزل للتواصل على صفية الدوحة وتكريم المرتزقة [link]
CT20-AR-30	1229327165394735104	مكافآت مرتزقة قناة  الجزيرة شعار  تنظيم  الحمدين  انبح ضد  السعودية أكثر وخذ بالدولار  [رابط]		0	Al Jazeera’s mercenaries rewards the slogan of Al-Hamdin organization barked against Saudi Arabia more and take the dollar [link]	مرتزقة الجزيرة يكافئون شعار منظمة الحمدين ينبح ضد السعودية أكثر ويأخذون الدولار [link]
CT20-AR-30	1229305239255371776	سبحان الله  من الواضح ان الوثيقة مفبركة ، بدليل وجود خطأ حسابي واضح جدا ، ومع هذا لا زال البعض يتداولها ويدندن حولها   انسوا خلافاتكم ، وتحروا الحق والصدق فقط  المفارقة  من فبرك الورقة يعلم تماما أن فيصل القاسم هو الأول ، لأن برنامجه قوي وسبب ضجة   سفيه  الدوحه  وجزيه  المرتزقه		0	Hallelujah it is clear that the document is fabricated, proof of the existence of a very obvious arithmetic error, and yet some are still circulating and condemning it forget about your differences, and investigate the truth and sincerity only the paradox of the fabrication of the paper knows perfectly that Faisal Al-Qasim is the first, because his program is strong and cause a fuss in the foothills of Doha and the tribute of mercenaries	من الواضح أن الوثيقة ملفقة، دليل على وجود خطأ حسابي واضح جداً، ومع ذلك لا يزال البعض يتداولها ويدينها ينسون خلافاتكم، ويحققون في الحقيقة والإخلاص فقط المفارقة في تلفيق الورقة تعرف تماماً أن فيصل القاسم هو الأول، لأن برنامجه قوي ويسبب ضجة في سفوح الدوحة وتكريم المرتزقة
